id,alias,name,image_url,is_closed,url,review_count,categories,rating,coordinates,transactions,price,location,phone,display_phone,distance
W0sXHSSpkiMEDJiBmSLNYQ,trestle-astoria,Trestle,https://s3-media2.fl.yelpcdn.com/bphoto/OqbqzUDibIw5hLL5M2xH2A/o.jpg,False,https://www.yelp.com/biz/trestle-astoria?adjust_creative=A57LwVZ5W7txZHbVlG9Tnw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=A57LwVZ5W7txZHbVlG9Tnw,477,"[{'alias': 'cocktailbars', 'title': 'Cocktail Bars'}, {'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]",4.5,"{'latitude': 40.7606154, 'longitude': -73.9229562}","['restaurant_reservation', 'delivery', 'pickup']",$$,"{'address1': '34-02 Broadway', 'address2': '', 'address3': None, 'city': 'Astoria', 'zip_code': '11106', 'country': 'US', 'state': 'NY', 'display_address': ['34-02 Broadway', 'Astoria, NY 11106']}",+13478080290,(347) 808-0290,700.5006551209126
_HBpi2PIG8Zxz01Pr41MIw,the-shady-lady-astoria,The Shady Lady,https://s3-media3.fl.yelpcdn.com/bphoto/79PjiSqvqypIJgv1NfwhUQ/o.jpg,False,https://www.yelp.com/biz/the-shady-lady-astoria?adjust_creative=A57LwVZ5W7txZHbVlG9Tnw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=A57LwVZ5W7txZHbVlG9Tnw,969,"[{'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'bars', 'title': 'Bars'}, {'alias': 'comfortfood', 'title': 'Comfort Food'}]",4.0,"{'latitude': 40.765619, 'longitude': -73.9181399}","['delivery', 'pickup']",$$,"{'address1': '34-19 30th Ave', 'address2': '', 'address3': '', 'city': 'Astoria', 'zip_code': '11103', 'country': 'US', 'state': 'NY', 'display_address': ['34-19 30th Ave', 'Astoria, NY 11103']}",+17184409081,(718) 440-9081,369.57642412711306
uQ0kF3fiJFDm0oDVRaMBkw,carla-long-island-city,Carla,https://s3-media4.fl.yelpcdn.com/bphoto/BoE34winfFNgMlZ5Hnhdng/o.jpg,False,https://www.yelp.com/biz/carla-long-island-city?adjust_creative=A57LwVZ5W7txZHbVlG9Tnw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=A57LwVZ5W7txZHbVlG9Tnw,105,"[{'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'burgers', 'title': 'Burgers'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",4.5,"{'latitude': 40.75351, 'longitude': -73.93764}",['delivery'],$$,"{'address1': '25-03 40th Avenue', 'address2': '', 'address3': None, 'city': 'Long Island City', 'zip_code': '11101', 'country': 'US', 'state': 'NY', 'display_address': ['25-03 40th Avenue', 'Long Island City, NY 11101']}",+19292046264,(929) 204-6264,1976.266628121901
k5bGHJbAXDw9g_uP42QqDw,the-highwater-astoria,The Highwater,https://s3-media1.fl.yelpcdn.com/bphoto/0TwP96PRTfM1lNRt_1zTxQ/o.jpg,False,https://www.yelp.com/biz/the-highwater-astoria?adjust_creative=A57LwVZ5W7txZHbVlG9Tnw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=A57LwVZ5W7txZHbVlG9Tnw,481,"[{'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'tikibars', 'title': 'Tiki Bars'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]",4.0,"{'latitude': 40.76033, 'longitude': -73.92245}","['restaurant_reservation', 'delivery', 'pickup']",$$,"{'address1': '3420 Broadway', 'address2': None, 'address3': '', 'city': 'Astoria', 'zip_code': '11106', 'country': 'US', 'state': 'NY', 'display_address': ['3420 Broadway', 'Astoria, NY 11106']}",+19177450407,(917) 745-0407,725.2673126671355
CpZ5fw9rxHOdLmdtW1Qdbw,arcadia-bar-and-kitchen-astoria,Arcadia Bar & Kitchen,https://s3-media4.fl.yelpcdn.com/bphoto/WdR24ku3zY7eeLS2q30F_Q/o.jpg,False,https://www.yelp.com/biz/arcadia-bar-and-kitchen-astoria?adjust_creative=A57LwVZ5W7txZHbVlG9Tnw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=A57LwVZ5W7txZHbVlG9Tnw,129,"[{'alias': 'cocktailbars', 'title': 'Cocktail Bars'}, {'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'tacos', 'title': 'Tacos'}]",4.5,"{'latitude': 40.77235, 'longitude': -73.92922}","['delivery', 'pickup']",$$,"{'address1': '12-21 Astoria Blvd', 'address2': '', 'address3': None, 'city': 'Astoria', 'zip_code': '11102', 'country': 'US', 'state': 'NY', 'display_address': ['12-21 Astoria Blvd', 'Astoria, NY 11102']}",+13477306181,(347) 730-6181,844.2546026051837
zgW7g4RWssKfjdlSE8fZvg,sweet-afton-astoria,Sweet Afton,https://s3-media1.fl.yelpcdn.com/bphoto/7qRjy07rSq9Q62H2jQKt3w/o.jpg,False,https://www.yelp.com/biz/sweet-afton-astoria?adjust_creative=A57LwVZ5W7txZHbVlG9Tnw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=A57LwVZ5W7txZHbVlG9Tnw,1118,"[{'alias': 'bars', 'title': 'Bars'}, {'alias': 'gastropubs', 'title': 'Gastropubs'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]",4.0,"{'latitude': 40.765352, 'longitude': -73.918983}","['delivery', 'pickup']",$$,"{'address1': '30-09 34th St', 'address2': '', 'address3': '', 'city': 'Astoria', 'zip_code': '11103', 'country': 'US', 'state': 'NY', 'display_address': ['30-09 34th St', 'Astoria, NY 11103']}",+17187772570,(718) 777-2570,319.9877591528456
rrsjcQVLg2PkIkO_vPjOLw,the-bonnie-astoria,The Bonnie,https://s3-media4.fl.yelpcdn.com/bphoto/29oB4FdyTpyMrAD2Ebvb0Q/o.jpg,False,https://www.yelp.com/biz/the-bonnie-astoria?adjust_creative=A57LwVZ5W7txZHbVlG9Tnw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=A57LwVZ5W7txZHbVlG9Tnw,739,"[{'alias': 'gastropubs', 'title': 'Gastropubs'}, {'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]",4.0,"{'latitude': 40.7746737, 'longitude': -73.9136003}","['delivery', 'pickup']",$$,"{'address1': '29-12 23rd Ave', 'address2': '', 'address3': '', 'city': 'Astoria', 'zip_code': '11105', 'country': 'US', 'state': 'NY', 'display_address': ['29-12 23rd Ave', 'Astoria, NY 11105']}",+17182742105,(718) 274-2105,1128.377251204752
AawLwOYZwMf_9wkShExfuw,sanfords-astoria-astoria,Sanfords Astoria,https://s3-media3.fl.yelpcdn.com/bphoto/dQwdngc4tQsPpZtUMGvQcQ/o.jpg,False,https://www.yelp.com/biz/sanfords-astoria-astoria?adjust_creative=A57LwVZ5W7txZHbVlG9Tnw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=A57LwVZ5W7txZHbVlG9Tnw,1024,"[{'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'whiskeybars', 'title': 'Whiskey Bars'}]",4.0,"{'latitude': 40.7623, 'longitude': -73.92555}","['restaurant_reservation', 'delivery', 'pickup']",$$,"{'address1': '30-13 Broadway', 'address2': '', 'address3': '', 'city': 'Astoria', 'zip_code': '11106', 'country': 'US', 'state': 'NY', 'display_address': ['30-13 Broadway', 'Astoria, NY 11106']}",+17189329569,(718) 932-9569,583.5068733310386
5ZWX85Le2vNrtAw5s9lHdQ,halseys-astoria,Halsey's,https://s3-media2.fl.yelpcdn.com/bphoto/V4l8CCPQbwNtAoeFHhJ6Xw/o.jpg,False,https://www.yelp.com/biz/halseys-astoria?adjust_creative=A57LwVZ5W7txZHbVlG9Tnw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=A57LwVZ5W7txZHbVlG9Tnw,140,"[{'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",4.5,"{'latitude': 40.763732, 'longitude': -73.9215625}","['delivery', 'pickup']",$$,"{'address1': '3095 33rd St', 'address2': '', 'address3': '', 'city': 'Astoria', 'zip_code': '11102', 'country': 'US', 'state': 'NY', 'display_address': ['3095 33rd St', 'Astoria, NY 11102']}",+17182672735,(718) 267-2735,355.03889699881125
H5bhfR5sL0I2w1csjI1uMA,piatto-long-island-city,Piatto,https://s3-media2.fl.yelpcdn.com/bphoto/FJtVxMayJ0vQQzXjHyaiLA/o.jpg,False,https://www.yelp.com/biz/piatto-long-island-city?adjust_creative=A57LwVZ5W7txZHbVlG9Tnw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=A57LwVZ5W7txZHbVlG9Tnw,217,"[{'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'italian', 'title': 'Italian'}, {'alias': 'wine_bars', 'title': 'Wine Bars'}]",4.0,"{'latitude': 40.7435117, 'longitude': -73.9590968}","['delivery', 'pickup']",$$,"{'address1': '1-50 50th Ave', 'address2': 'Corner of Center Blvd & 50th Avenue', 'address3': '', 'city': 'Long Island City', 'zip_code': '11101', 'country': 'US', 'state': 'NY', 'display_address': ['1-50 50th Ave', 'Corner of Center Blvd & 50th Avenue', 'Long Island City, NY 11101']}",+17183612751,(718) 361-2751,4051.9126645782153
